Channel Name,Channel ID,Video Title,Video ID,Video URL,Views,Publish Time
Alek,Alek,AI to 3D Technology That Will Break Entire Industries (AI News),coUKTLUX2Gw,https://www.youtube.com/watch?v=coUKTLUX2Gw,"520,239 views",1 year ago
Alek,Alek,AI to 3D Technology That Will Break Entire Industries (AI News),coUKTLUX2Gw,https://www.youtube.com/watch?v=coUKTLUX2Gw,"520,239 views",1 year ago
Alek,Alek,AI to 3D Technology That Will Break Entire Industries (AI News),coUKTLUX2Gw,https://www.youtube.com/watch?v=coUKTLUX2Gw,"520,239 views",1 year ago
NVIDIA,NVIDIA,Develop 3D Product Configurators With Generative AI and OpenUSD,LAVXuDK83iA,https://www.youtube.com/watch?v=LAVXuDK83iA,"22,059 views",1 month ago
NVIDIA,NVIDIA,"AI-Driven, Physics-Based Character Animation",8oIQy6fxfCA,https://www.youtube.com/watch?v=8oIQy6fxfCA,"收看次數：110,933 次",2 年前
Blender Academy,Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),x60zHw_z4NM,https://www.youtube.com/watch?v=x60zHw_z4NM,"566,547 views",1 year ago
Blender Academy,Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),x60zHw_z4NM,https://www.youtube.com/watch?v=x60zHw_z4NM,"566,547 views",1 year ago
Blender Academy,Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),x60zHw_z4NM,https://www.youtube.com/watch?v=x60zHw_z4NM,"566,547 views",1 year ago
Blender Academy,Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),x60zHw_z4NM,https://www.youtube.com/watch?v=x60zHw_z4NM,"566,547 views",1 year ago
Blender Academy,Blender Academy,Blender Tutorial – How to Use AI to Create 3D Models (ChatGPT and Blender),x60zHw_z4NM,https://www.youtube.com/watch?v=x60zHw_z4NM,"566,577 views",1 year ago
Uncle Jessy,Uncle Jessy,AI 3D Modeling is here! But is it any good?,oBU2S0aRKI0,https://www.youtube.com/watch?v=oBU2S0aRKI0,"177,338 views",7 months ago
Uncle Jessy,Uncle Jessy,How to connect 3D Printed Parts!,H8AcqOh0wis,https://www.youtube.com/watch?v=H8AcqOh0wis,"23,624,539 views",2 years ago
Uncle Jessy,Uncle Jessy,3D Print your own Board Game Storage! OMNI 3,ZgLiFXSeLJA,https://www.youtube.com/watch?v=ZgLiFXSeLJA,"20,303 views",2 months ago
Olivio Sarikas,Olivio Sarikas,Text to 3D is AWESOME now! - AI Tools you need to know,0u2BkBYPRMY,https://www.youtube.com/watch?v=0u2BkBYPRMY,"108,632 views",1 month ago
Olivio Sarikas,Olivio Sarikas,3D to AI - THIS is the REAL Power of AI,_5IpMQORgOA,https://www.youtube.com/watch?v=_5IpMQORgOA,"55,223 views",3 weeks ago
Olivio Sarikas,Olivio Sarikas,Text to 3D is AWESOME now! - AI Tools you need to know,0u2BkBYPRMY,https://www.youtube.com/watch?v=0u2BkBYPRMY,"108,632 views",1 month ago
Olivio Sarikas,Olivio Sarikas,3D to AI - THIS is the REAL Power of AI,_5IpMQORgOA,https://www.youtube.com/watch?v=_5IpMQORgOA,"55,225 views",3 weeks ago
ArchiTECH,ArchiTECH,Free AI - ADVANCED 3D Models From Images - Ready For Printing!,uD_p8Zpa_d8,https://www.youtube.com/watch?v=uD_p8Zpa_d8,"319,347 views",3 months ago
ArchiTECH,ArchiTECH,AI 3D Models Improved - INCREDIBLE Details Tutorial,35E04N5gtkI,https://www.youtube.com/watch?v=35E04N5gtkI,"6,539 views",1 month ago
ArchiTECH,ArchiTECH,AI 3D Models Improved - INCREDIBLE Details Tutorial,35E04N5gtkI,https://www.youtube.com/watch?v=35E04N5gtkI,"6,539 views",1 month ago
AIAnimation,AIAnimation,Create Stunning 3D Models & Textures With AI  - Full AI Animation Tutorial,iHK_MQlwEis,https://www.youtube.com/watch?v=iHK_MQlwEis,"97,845 views",2 months ago
AIAnimation,AIAnimation,Create Stunning 3D Models & Textures With AI  - Full AI Animation Tutorial,iHK_MQlwEis,https://www.youtube.com/watch?v=iHK_MQlwEis,"97,845 views",2 months ago
AIAnimation,AIAnimation,Create Stunning 3D Models & Textures With AI  - Full AI Animation Tutorial,iHK_MQlwEis,https://www.youtube.com/watch?v=iHK_MQlwEis,"97,845 views",2 months ago
AIAnimation,AIAnimation,Create Stunning 3D Models & Textures With AI  - Full AI Animation Tutorial,iHK_MQlwEis,https://www.youtube.com/watch?v=iHK_MQlwEis,"97,845 views",2 months ago
AIAnimation,AIAnimation,2D Character Image To Full 3D Animation with AI,BDWfroMBrZU,https://www.youtube.com/watch?v=BDWfroMBrZU,"323,178 views",8 months ago
InspirationTuts,InspirationTuts,Can This AI Make 3D Models?!!,ZNhAc5VYCXQ,https://www.youtube.com/watch?v=ZNhAc5VYCXQ,"28,771 views",2 months ago
InspirationTuts,InspirationTuts,Is AI Helping Or Killing 3D Artists,eWfnS3koFgc,https://www.youtube.com/watch?v=eWfnS3koFgc,"10,282 views",5 months ago
InspirationTuts,InspirationTuts,This is Next Level 3D AI?!,JpFRSIPvDSg,https://www.youtube.com/watch?v=JpFRSIPvDSg,"15,698 views",2 months ago
InspirationTuts,InspirationTuts,Is AI Helping Or Killing 3D Artists,eWfnS3koFgc,https://www.youtube.com/watch?v=eWfnS3koFgc,"10,282 views",5 months ago
InspirationTuts,InspirationTuts,Can This AI Make 3D Models?!!,ZNhAc5VYCXQ,https://www.youtube.com/watch?v=ZNhAc5VYCXQ,"28,771 views",2 months ago
